id,name
5030006518,A. David Redish
5021207885,Bruce E. Tabashnik
5038727175,Yves Carrière
5047021792,Kyounghwan Kim
5022248812,Ashley DaSilva
5035024305,Sunxiang Huang
5006016069,Babak Fallahazad
5074793529,Stefano Larentis
5041573207,Takashi Taniguchi
5008622317,Kenji Watanabe
5031129890,Brian J. LeRoy
5076275720,Allan H. MacDonald
5070808670,Emanuel Tutuc
5083279701,Andrea Cossarizza
5011411085,Hyun Dong Chang
5006949032,Andreas Radbruch
5019919684,Mübeccel Akdiş
5069018361,Immanuel Andrä
5011711495,Francesco Annunziato
5023203593,Petra Bächer
5002613530,Vincenzo Barnaba
5049445481,Luca Battistini
5055020479,Wolfgang Bauer
5042324066,Sabine Baumgart
5051595544,Burkhard Becher
5024098850,Wolfgang Beisker
5006227902,Claudia Berek
5042660964,Alfonso Blanco
5007337770,Giovanna Borsellino
5001803462,Philip E. Boulais
5035285628,Ryan R. Brinkman
5009388196,Martin Büscher
5062895290,Dirk H. Busch
5004493494,Timothy Bushnell
5034957547,Xuetao Cao
5015074303,Andrea Cavani
5025059957,Pratip Chattopadhyay
5045664195,Qingyu Cheng
5077980479,Sue Chow
5069534962,Mario Clerici
5016942680,Anne Cooke
5019878711,Antonio Cosma
5012623826,Lorenzo Cosmi
5034678602,Ana Cumano
5084744252,Van Duc Dang
5052408528,Derek Davies
5018307013,Sara De Biasi
5062777565,Genny Del Zotto
5050115769,Silvia Della Bella
5078970596,Paolo Dellabona
5089492553,Günnur Deniz
5025542842,Mark C. Dessing
5013059849,Andreas Diefenbach
5032817893,James P. Di Santo
5010991352,Francesco Dieli
5031622132,Andreas Dolf
5069288338,Vera Donnenberg
5086942556,Thomas Dörner
5057051360,Götz R. A. Ehrhardt
5073349155,Elmar Endl
5073496723,Pablo Engel
5069271331,Britta Engelhardt
5043645408,Charlotte Esser
5082088297,Bart Everts
5010406457,Anita Dreher
5035882618,Christine S. Falk
5016323798,Todd A. Fehniger
5020108764,Andrew Filby
5078221402,Simon Fillatreau
5035318233,Marie Follo
5074568658,Irmgard Förster
5040505123,John Foster
5088555536,Gemma A. Foulds
5044390727,Paul S. Frenette
5074144759,David W. Galbraith
5091449075,Natalio Garbi
5079773987,Maria Dolores García-Godoy
5020503463,Jens Geginat
5055619378,Kamran Ghoreschi
5031185527,Lara Gibellini
5046739176,Christoph Goettlinger
5028761875,Carl S. Goodyear
5003492939,Andrea Gori
5091902407,Jane L. Grogan
5033110800,Mor Gross
5022474029,Andreas Grützkau
5051273692,Daryl Grummitt
5045847121,Jonas Hahn
5068728003,Quirin Hammer
5074953707,Anja E. Hauser
5005421700,David L. Haviland
5011309882,David Hedley
5009985626,Guadalupe Herrera
5077974128,Martin Herrmann
5014912299,Falk Hiepe
5084920608,Tristan Holland
5048993433,Pleun Hombrink
5055321507,Jessica P. Houston
5049442065,Bimba F. Hoyer
5033377895,Bo Huang
5064693777,Christopher A. Hunter
5028640520,Anna Iannone
5039333578,Hans‐Martin Jäck
5061498915,Beatriz Jávega
5038051461,Stipan Jonjić
5050315708,Kerstin Juelke
5085718942,Steffen Jung
5081912475,Toralf Kaiser
5087808668,Tomáš Kalina
5006981472,Baerbel Keller
5077947867,Srijit Khan
5061814144,Deborah Kienhöfer
5038696053,Thomas Kroneis
5053001866,Michael A. Grandner
5032106014,M. Argudo-Fernández
5088719533,B. Barbuy
5056801844,G. Battaglia
5087501966,Julien Baur
5046809602,S. Bertrán de Lis
5046205771,Hugo Orlando Camacho Chavez
5061771940,M. Cano Díaz
5064140041,Yanping Chen
5056714786,Chia-Hsun Chuang
5011085329,Julia M. Comerford
5080990058,Janaina Correa do Nascimento
5085328188,James W. Davidson
5069091763,Gabriele da Silva Ilha
5041839850,Alice Deconto Machado
5067616980,S. de la Torre
5041189613,Aleksandar M. Diamond‐Stanic
5017685017,Cheng Du
5017908675,J. Falcón-Barroso
5070503799,Ginevra Favole
5024690331,J. G. Fernández-Trincado
5028921959,Andreu Font-Ribera
5041922759,Gordon Freischlad
5060344190,Hai Fu
5041083439,Guangwen Yang
5032260949,Д. С. Лауретта
5020034271,S. S. Balram‐Knutson
5030939820,E. C. Beshore
5066046127,W. V. Boynton
5002788775,C. Drouet d’Aubigny
5040792536,D. N. DellaGiustina
5015430945,H. Enos
5027696393,D. R. Golish
5068595115,C. W. Hergenrother
5044820642,E. S. Howell
5041823807,C. A. Bennett
5048210034,E. Morton
5086818248,M. C. Nolan
5077959518,B. Rizk
5027050315,H. L. Roper
5037587951,A. Bartels
5066334089,Brent J. Bos
5089205597,Jason P. Dworkin
5062458737,D. E. Highsmith
5064629723,David Alegre Lorenz
5040551143,L. F. Lim
5086915320,R. G. Mink
5091513670,Michael C. Moreau
5038762851,Joseph A. Nuth
5079520378,Dennis C. Reuter
5004641176,A. A. Simon-Miller
5071522772,E. B. Bierhaus
5038232564,B. H. Bryan
5091837518,Ronald-Louis Ballouz
5002661223,Olivier S. Barnouin
5067564017,Richard P. Binzel
5015258205,W. F. Bottke
5069971664,Victoria E. Hamilton
5041010822,K. J. Walsh
5021819630,S. R. Chesley
5041195860,P. R. Christensen
5005640746,B. E. Clark
5025905473,H. C. Connolly
5057974123,M. K. Crombie
5075777213,M. G. Daly
5008688665,Joshua P. Emery
5025064183,Timothy J. McCoy
5036045378,Jay W. McMahon
5053565736,Daniel J. Scheeres
5063338507,S. Messenger
5030492178,K. Nakamura‐Messenger
5074746695,K. Righter
5076610019,Scott A. Sandford
5055050872,Krishnansu S. Tewari
5072447565,Michael W. Sill
5089955620,Richard T. Penson
5028360591,Helen Q. Huang
5073591360,Lois M. Ramondetta
5009967316,Lisa M. Landrum
5022267430,Thomas Reid
5046956876,Mario M. Leitao
5003548254,Helen E. Michael
5015232515,Philip J. DiSaia
5059622280,Larry J. Copeland
5029482901,William T. Creasman
5063180871,Frederick B. Stehman
5063378114,Mark F. Brady
5057221032,Robert A. Burger
5065356980,J.T. Thigpen
